last_sex_condom,last_sex_pill,last_sex_implant,last_sex_iud,last_sex_injectable,last_sex_emergency,last_sex_withdrawal,last_sex_rhythm,last_sex_no_method,reason_not_using,ever_had_sex
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
no,no,no,no,no,no,no,no,yes,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
no,no,no,no,no,no,yes,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,missing,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I don't have a partner,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I don't have a partner,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I don't have a partner,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,no,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,no,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,yes,no,no,no,no,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,other,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I don't have a partner,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,yes,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
no,no,no,no,no,no,no,no,yes,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,yes,no,yes,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
no,no,no,no,no,no,no,no,yes,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
no,no,no,no,no,no,no,no,yes,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
no,no,no,no,no,no,no,no,yes,na,yes
no,no,no,no,no,no,no,no,yes,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,no,yes,yes,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
no,no,no,no,no,no,no,no,yes,na,yes
yes,no,no,no,no,no,no,yes,no,na,yes
no,no,no,no,no,no,no,no,yes,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,no,no,no,no,na,yes
no,yes,no,no,no,no,no,yes,no,na,yes
yes,no,no,no,no,no,yes,yes,no,na,yes
no,no,no,no,no,no,no,yes,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,no,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,yes,no,no,no,no,yes,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,no,no,yes,no,na,yes
no,no,no,no,no,no,no,yes,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
no,no,no,no,no,no,no,no,yes,na,yes
no,no,no,no,no,no,no,no,yes,na,yes
yes,no,no,no,no,no,no,yes,no,na,yes
yes,no,no,no,no,no,no,yes,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,no,no,yes,no,na,yes
no,no,no,no,no,no,no,no,yes,na,yes
yes,no,yes,no,no,no,yes,yes,no,na,yes
yes,no,yes,no,no,no,no,yes,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,yes,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,yes,yes,no,no,no,no,no,no,na,yes
yes,no,no,no,no,no,yes,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,no,no,no,no,na,yes
yes,no,no,no,no,no,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,no,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,no,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
no,no,no,no,no,no,no,no,no,dtk,Prefer not to answer
yes,no,no,no,no,no,yes,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,yes,no,no,no,no,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,dtk,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,no,no,yes,no,na,yes
yes,no,no,no,no,no,no,no,no,na,yes
yes,no,no,no,no,no,no,no,no,na,yes
yes,no,no,no,no,no,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,no,no,no,no,na,yes
yes,no,no,no,no,no,no,yes,no,na,yes
yes,no,no,no,no,no,no,yes,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
no,no,no,no,no,no,no,no,yes,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
yes,no,no,no,no,no,no,no,no,na,yes
yes,no,no,no,no,no,no,yes,no,na,yes
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
no,no,no,no,no,yes,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I don't have a partner,no
yes,yes,no,no,no,no,no,yes,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
yes,no,no,no,no,no,yes,yes,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,no,no,no,no,na,yes
yes,no,no,no,no,no,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,yes,no,yes,no,yes,yes,no,na,yes
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
yes,no,no,no,no,no,yes,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
no,no,no,no,no,yes,no,no,no,na,yes
yes,no,no,no,no,yes,no,no,no,na,yes
no,no,no,no,no,no,no,no,yes,na,yes
na,na,na,na,na,na,na,na,na,I don't have a partner,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,other,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I don't have a partner,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
na,na,na,na,na,na,na,na,na,I don't have a partner,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
yes,no,no,no,no,no,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
na,na,na,na,na,na,na,na,na,I'm afraid to get pregnant/make someone pregnant,no
na,na,na,na,na,na,na,na,na,I want to avoid STIs/HIV,no
yes,no,no,no,no,no,no,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
no,no,no,no,no,no,no,no,no,dtk,Prefer not to answer
na,na,na,na,na,na,na,na,na,I don't have a partner,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
no,no,no,no,no,no,yes,no,no,na,yes
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
na,na,na,na,na,na,na,na,na,I'm waiting until marriage,no
